txn_time,txn_date,order_id,uid,shop_id,gmv,rebate
10/30/2015 13:37,10/30/2015,8867,161617,11709,7,2
10/30/2015 20:26,10/30/2015,119519,867365,120249,8,2
10/30/2015 12:22,10/30/2015,986559,401483,120549,12.5,2
10/30/2015 9:46,10/30/2015,942099,213258,120705,8.2,2
10/30/2015 21:56,10/30/2015,139417,3391,121353,26,2
10/30/2015 10:31,10/30/2015,952112,615016,121605,0,0
10/30/2015 12:46,10/30/2015,993480,60189,121725,5.6,1.68
10/30/2015 16:44,10/30/2015,70164,245454,121977,30,2
10/30/2015 20:11,10/30/2015,115967,299950,122085,34.3,2
10/30/2015 19:28,10/30/2015,104866,910956,122181,24,2
10/30/2015 13:01,10/30/2015,996779,653834,122289,25.5,2
10/30/2015 15:00,10/30/2015,41124,47631,122289,14.5,2
10/30/2015 18:45,10/30/2015,93862,672808,122289,16.5,2
10/30/2015 20:01,10/30/2015,113115,816751,122289,21.2,2
10/30/2015 21:30,10/30/2015,134324,748798,122289,31,2
10/30/2015 13:32,10/30/2015,7607,696574,122397,12.3,2
10/30/2015 21:02,10/30/2015,128199,111949,122397,3.5,1.05
10/30/2015 21:18,10/30/2015,131529,6314,122397,18.4,2
10/30/2015 22:14,10/30/2015,144287,988191,122397,7.4,2
10/30/2015 12:37,10/30/2015,991230,661752,11925,13,2
10/30/2015 14:14,10/30/2015,20643,40600,11925,8,2
10/30/2015 16:29,10/30/2015,67296,343944,11925,9,2
10/30/2015 17:34,10/30/2015,79679,40600,11925,14.5,0
10/30/2015 18:06,10/30/2015,85849,213635,11925,7,2
10/30/2015 19:02,10/30/2015,97519,515969,11925,7.5,2
10/30/2015 12:37,10/30/2015,991231,693848,122421,6.9,2
10/30/2015 19:06,10/30/2015,98932,774529,122421,4.5,1.35
10/30/2015 20:00,10/30/2015,112830,644629,122421,5,1.5
10/30/2015 20:12,10/30/2015,116247,644629,122421,2,0
10/30/2015 20:56,10/30/2015,126680,61540,122421,5.5,1.65
10/30/2015 14:28,10/30/2015,27121,637241,122469,7,2
10/30/2015 20:19,10/30/2015,117833,257815,122997,7.5,2
10/30/2015 21:23,10/30/2015,132739,574367,123045,7,2
10/30/2015 21:24,10/30/2015,132919,574367,123045,7,0
10/30/2015 20:14,10/30/2015,116563,993487,123453,30.7,2
10/30/2015 16:23,10/30/2015,66038,686068,123705,29,2
